39.806 143.200 19.814 SYN
0.000 0.000 0.000 0.426
ML17 ML21 -1.078 1.000
ML20 ML38 -2.811 1.000
ML08 ML17 0.589 1.000
ML17 ML37 -6.002 1.000
ML07 ML37 -4.449 1.000
ML06 ML08 0.935 1.000
ML08 ML30 -8.227 1.000
ML06 ML28 -3.060 1.000
ML21 ML30 -8.024 1.000
ML09 ML17 -3.493 1.000
ML18 ML21 3.058 1.000
ML06 ML18 -2.346 1.000
ML09 ML29 -11.100 1.000
ML07 ML29 -5.874 1.000
ML06 ML39 -1.362 1.000
ML17 ML29 -7.474 1.000
ML06 ML29 -6.098 1.000
ML37 ML39 3.261 1.000
ML28 ML29 -2.833 1.000
ML19 ML20 1.584 1.000
ML21 ML37 -5.364 1.000
ML19 ML28 0.956 1.000
ML20 ML39 1.423 1.000
ML07 ML30 -7.024 1.000
ML30 ML38 1.726 1.000
ML21 ML38 -6.198 1.000
ML08 ML39 -2.491 1.000
ML17 ML38 -7.263 1.000
ML19 ML39 2.689 1.000
ML20 ML28 -0.226 1.000
ML21 ML31 -3.307 1.000
ML07 ML39 -1.001 1.000
ML06 ML31 -2.732 1.000
ML07 ML17 1.834 1.000
ML06 ML30 -7.199 1.000
ML20 ML21 3.356 1.000
ML08 ML29 -7.004 1.000
