39.741 143.285 21.117 SYN
0.000 0.000 0.000 0.671
ML08 ML29 -8.661 1.000
ML31 ML38 -3.737 1.000
ML06 ML07 0.634 1.000
ML08 ML28 -6.224 1.000
ML09 ML20 -8.032 1.000
ML07 ML08 1.783 1.000
ML08 ML19 -6.137 1.000
ML20 ML29 -4.800 1.000
ML06 ML09 6.569 1.000
ML18 ML20 1.642 1.000
ML17 ML20 -2.287 1.000
ML06 ML39 0.565 1.000
ML06 ML29 -6.107 1.000
ML17 ML30 -6.731 1.000
ML07 ML37 -5.610 1.000
ML28 ML29 -2.046 1.000
ML18 ML21 5.296 1.000
ML07 ML19 -4.481 1.000
ML08 ML30 -8.271 1.000
ML09 ML31 -7.557 1.000
ML19 ML29 -2.611 1.000
ML20 ML39 1.848 1.000
ML09 ML28 -10.673 1.000
ML21 ML29 -8.618 1.000
ML30 ML37 0.916 1.000
ML18 ML39 3.557 1.000
ML09 ML21 -4.121 1.000
ML30 ML31 5.332 1.000
ML19 ML20 2.248 1.000
ML06 ML38 -4.521 1.000
ML18 ML31 2.111 1.000
ML31 ML37 -4.288 1.000
ML08 ML17 -1.412 1.000
ML28 ML37 -0.933 1.000
ML07 ML38 -5.037 1.000
ML17 ML19 -4.376 1.000
ML30 ML38 1.646 1.000
ML07 ML39 0.087 1.000
ML29 ML39 6.721 1.000
