39.798 143.357 13.364 SYN
0.000 0.000 0.000 0.705
ML08 ML37 -1.937 1.000
ML06 ML07 0.137 1.000
ML30 ML38 4.334 1.000
ML07 ML09 6.711 1.000
ML09 ML29 -10.498 1.000
ML20 ML28 0.577 1.000
ML08 ML09 4.855 1.000
ML09 ML21 -3.741 1.000
ML08 ML39 1.710 1.000
ML08 ML28 -2.806 1.000
ML07 ML31 0.475 1.000
ML07 ML18 -1.568 1.000
ML18 ML29 -1.939 1.000
ML30 ML37 4.509 1.000
ML18 ML21 4.354 1.000
ML21 ML37 -2.611 1.000
ML29 ML39 6.893 1.000
ML09 ML38 -6.870 1.000
ML19 ML38 3.492 1.000
ML07 ML29 -3.719 1.000
ML18 ML39 5.314 1.000
ML06 ML38 -0.034 1.000
ML06 ML28 -0.595 1.000
ML18 ML31 2.237 1.000
ML18 ML20 0.170 1.000
ML19 ML39 7.067 1.000
ML17 ML19 -6.501 1.000
ML06 ML18 -1.864 1.000
ML06 ML31 0.494 1.000
ML28 ML39 4.266 1.000
