39.879 143.261 18.642 SYN
0.000 0.000 0.000 0.504
ML08 ML29 -5.215 1.000
ML30 ML38 1.605 1.000
ML07 ML20 -3.294 1.000
ML37 ML39 0.535 1.000
ML06 ML29 -5.605 1.000
ML09 ML39 -7.031 1.000
ML17 ML31 -7.064 1.000
ML18 ML28 -0.245 1.000
ML38 ML39 3.026 1.000
ML18 ML19 -2.318 1.000
ML07 ML21 -0.243 1.000
ML19 ML37 0.125 1.000
ML19 ML39 1.052 1.000
ML28 ML29 -3.399 1.000
ML21 ML30 -7.173 1.000
ML19 ML28 1.968 1.000
ML21 ML38 -5.261 1.000
ML18 ML39 -1.376 1.000
ML20 ML38 -2.638 1.000
ML07 ML18 -0.948 1.000
ML17 ML37 -6.504 1.000
ML07 ML19 -3.530 1.000
ML29 ML31 0.876 1.000
ML17 ML39 -5.821 1.000
ML07 ML31 -3.874 1.000
ML21 ML29 -4.363 1.000
ML09 ML38 -10.061 1.000
ML06 ML17 2.343 1.000
ML08 ML21 -0.877 1.000
ML17 ML18 -4.330 1.000
ML18 ML37 -1.975 1.000
ML18 ML31 -2.520 1.000
ML06 ML21 -1.147 1.000
