39.757 143.261 20.820 SYN
0.000 0.000 0.000 0.541
ML07 ML21 2.606 1.000
ML31 ML37 -2.492 1.000
ML07 ML08 2.042 1.000
ML09 ML20 -8.258 1.000
ML28 ML31 2.807 1.000
ML30 ML39 7.725 1.000
ML09 ML28 -9.590 1.000
ML21 ML29 -7.934 1.000
ML29 ML37 3.020 1.000
ML06 ML19 -3.633 1.000
ML09 ML39 -4.637 1.000
ML18 ML29 -2.357 1.000
ML06 ML09 7.209 1.000
ML07 ML31 -0.029 1.000
ML19 ML30 -1.253 1.000
ML18 ML39 5.322 1.000
ML07 ML20 -1.587 1.000
ML06 ML38 -1.656 1.000
ML06 ML28 -2.294 1.000
ML09 ML38 -8.833 1.000
ML19 ML29 -1.291 1.000
ML06 ML17 1.503 1.000
ML38 ML39 4.366 1.000
ML37 ML38 0.514 1.000
ML29 ML30 0.044 1.000
ML20 ML39 3.956 1.000
ML06 ML30 -4.762 1.000
ML20 ML28 -1.621 1.000
