39.747 143.391 22.528 SYN
0.000 0.000 0.000 0.321
ML09 ML29 -11.174 1.000
ML18 ML19 -1.122 1.000
ML31 ML39 2.965 1.000
ML17 ML21 1.339 1.000
ML17 ML30 -6.047 1.000
ML18 ML28 0.958 1.000
ML18 ML29 -1.600 1.000
ML19 ML31 5.071 1.000
ML08 ML09 4.650 1.000
ML31 ML38 -1.119 1.000
ML09 ML17 -5.069 1.000
ML08 ML39 1.711 1.000
ML21 ML37 -3.755 1.000
ML21 ML39 0.647 1.000
ML06 ML18 -2.245 1.000
ML20 ML31 2.062 1.000
ML20 ML39 5.029 1.000
ML19 ML20 2.648 1.000
ML08 ML18 -4.692 1.000
ML28 ML31 2.661 1.000
ML07 ML21 3.205 1.000
ML19 ML29 -0.388 1.000
ML06 ML37 0.032 1.000
ML21 ML30 -7.353 1.000
ML06 ML17 2.521 1.000
ML18 ML39 6.514 1.000
ML06 ML08 2.713 1.000
ML20 ML37 0.943 1.000
ML06 ML29 -3.587 1.000
ML28 ML39 5.557 1.000
ML07 ML17 2.056 1.000
ML06 ML07 0.586 1.000
ML06 ML09 7.586 1.000
ML08 ML31 -1.127 1.000
ML07 ML28 -1.808 1.000
ML18 ML21 5.828 1.000
ML30 ML38 4.077 1.000
ML09 ML37 -7.523 1.000
ML19 ML37 3.611 1.000
ML19 ML39 7.960 1.000
ML07 ML19 -4.002 1.000
ML20 ML29 -2.883 1.000
ML28 ML38 1.440 1.000
ML07 ML37 -0.487 1.000
ML28 ML37 1.145 1.000
ML21 ML38 -3.505 1.000
