39.733 143.418 18.746 SYN
0.000 0.000 0.000 1.333
ML21 ML29 -6.634 1.000
ML08 ML38 -3.100 1.000
ML07 ML09 6.471 1.000
ML21 ML31 -2.391 1.000
ML08 ML37 -2.854 1.000
ML07 ML30 -5.212 1.000
ML28 ML29 -3.000 1.000
ML18 ML21 4.378 1.000
ML20 ML30 -3.044 1.000
ML28 ML31 1.407 1.000
ML19 ML30 -1.296 1.000
ML28 ML30 -3.471 1.000
ML08 ML28 -3.165 1.000
ML08 ML20 -3.410 1.000
ML17 ML38 -3.627 1.000
ML06 ML29 -4.293 1.000
ML19 ML37 2.767 1.000
ML08 ML39 0.731 1.000
ML20 ML31 1.612 1.000
ML08 ML09 4.643 1.000
ML06 ML08 2.071 1.000
ML06 ML31 -0.040 1.000
ML08 ML30 -6.772 1.000
ML20 ML21 4.285 1.000
ML19 ML29 -0.456 1.000
ML18 ML38 0.746 1.000
ML19 ML28 2.341 1.000
ML17 ML31 -2.409 1.000
ML20 ML39 4.498 1.000
ML29 ML31 4.007 1.000
ML08 ML19 -5.657 1.000
ML08 ML31 -2.028 1.000
ML19 ML38 2.655 1.000
ML09 ML39 -4.037 1.000
ML06 ML38 -1.059 1.000
ML06 ML09 6.451 1.000
ML17 ML28 -3.953 1.000
ML31 ML38 -1.141 1.000
ML17 ML37 -3.457 1.000
ML07 ML18 -2.166 1.000
ML28 ML37 0.581 1.000
ML29 ML38 3.087 1.000
ML09 ML28 -7.952 1.000
ML18 ML19 -1.688 1.000
