39.706 143.300 20.000 REF
0.000 0.000 0.000 999.000
ML17 ML21 4.165 1.000
ML29 ML39 9.322 1.000
ML20 ML30 -3.808 1.000
ML17 ML28 -4.222 1.000
ML17 ML29 -5.666 1.000
ML09 ML38 -9.446 1.000
ML08 ML28 -7.588 1.000
ML07 ML21 3.269 1.000
ML07 ML29 -6.562 1.000
ML06 ML07 1.303 1.000
ML09 ML39 -4.367 1.000
ML07 ML17 -0.896 1.000
ML06 ML28 -3.815 1.000
ML08 ML31 -1.790 1.000
ML07 ML08 2.470 1.000
ML09 ML18 -11.658 1.000
ML08 ML09 4.657 1.000
ML07 ML09 7.127 1.000
ML06 ML18 -3.228 1.000
ML19 ML31 4.989 1.000
ML08 ML19 -6.778 1.000
ML18 ML21 7.800 1.000
ML18 ML37 0.467 1.000
ML07 ML28 -5.118 1.000
ML06 ML39 4.063 1.000
ML06 ML31 1.984 1.000
ML19 ML39 7.068 1.000
ML06 ML20 0.208 1.000
ML09 ML21 -3.859 1.000
ML09 ML30 -12.031 1.000
ML08 ML38 -4.789 1.000
ML08 ML20 -3.566 1.000
ML19 ML28 -0.810 1.000
ML19 ML38 1.989 1.000
