39.799 143.226 20.611 SYN
0.000 0.000 0.000 0.447
ML07 ML18 -2.717 1.000
ML20 ML37 -1.787 1.000
ML29 ML38 1.304 1.000
ML20 ML30 -4.281 1.000
ML07 ML08 1.542 1.000
ML38 ML39 4.458 1.000
ML06 ML38 -4.176 1.000
ML37 ML39 4.087 1.000
ML06 ML29 -5.873 1.000
ML06 ML18 -2.567 1.000
ML28 ML29 -2.820 1.000
ML19 ML20 1.906 1.000
ML17 ML20 -3.755 1.000
ML28 ML37 -0.886 1.000
ML19 ML38 -0.172 1.000
ML07 ML28 -3.223 1.000
ML20 ML29 -3.666 1.000
ML30 ML37 2.664 1.000
ML08 ML21 0.046 1.000
ML08 ML37 -5.481 1.000
ML28 ML30 -3.361 1.000
ML17 ML38 -5.665 1.000
ML21 ML28 -4.736 1.000
ML18 ML30 -3.788 1.000
ML06 ML31 -1.408 1.000
ML20 ML31 0.718 1.000
ML17 ML37 -5.355 1.000
ML07 ML30 -6.482 1.000
ML29 ML31 4.204 1.000
ML09 ML28 -9.010 1.000
ML06 ML17 1.545 1.000
ML09 ML30 -12.643 1.000
ML19 ML30 -2.323 1.000
ML18 ML39 2.965 1.000
ML07 ML09 5.793 1.000
ML20 ML28 -1.146 1.000
ML06 ML08 1.680 1.000
ML17 ML39 -1.239 1.000
ML07 ML29 -6.003 1.000
ML18 ML21 4.421 1.000
ML21 ML38 -5.814 1.000
ML21 ML30 -8.053 1.000
