39.885 143.324 18.136 SYN
0.000 0.000 0.000 0.562
ML19 ML28 3.420 1.000
ML17 ML30 -10.706 1.000
ML19 ML38 0.691 1.000
ML06 ML31 -3.439 1.000
ML21 ML38 -2.940 1.000
ML17 ML28 -4.150 1.000
ML09 ML38 -7.421 1.000
ML17 ML21 -4.081 1.000
ML31 ML38 -0.211 1.000
ML28 ML31 -2.745 1.000
ML18 ML39 0.377 1.000
ML17 ML18 -4.500 1.000
ML20 ML39 3.061 1.000
ML20 ML37 2.589 1.000
ML08 ML38 -3.268 1.000
ML09 ML20 -7.745 1.000
ML09 ML21 -4.464 1.000
ML18 ML37 -0.154 1.000
ML21 ML30 -6.553 1.000
ML06 ML30 -7.402 1.000
ML17 ML29 -7.649 1.000
ML38 ML39 2.824 1.000
ML28 ML39 -0.164 1.000
ML08 ML20 -3.708 1.000
ML19 ML31 0.512 1.000
ML18 ML19 -2.906 1.000
ML21 ML31 -2.919 1.000
ML30 ML37 5.808 1.000
ML18 ML28 0.646 1.000
ML06 ML18 -1.285 1.000
ML06 ML28 -0.670 1.000
ML19 ML37 2.806 1.000
ML07 ML20 -2.823 1.000
ML06 ML21 -0.634 1.000
ML09 ML37 -5.097 1.000
ML08 ML21 -0.460 1.000
ML18 ML31 -2.311 1.000
ML17 ML39 -4.412 1.000
ML37 ML38 -2.188 1.000
ML17 ML19 -7.577 1.000
ML09 ML29 -7.799 1.000
ML08 ML28 -0.619 1.000
