39.833 143.409 18.806 SYN
0.000 0.000 0.000 0.848
ML28 ML30 -4.925 1.000
ML21 ML28 -2.148 1.000
ML21 ML29 -5.306 1.000
ML28 ML39 2.945 1.000
ML17 ML39 -0.790 1.000
ML29 ML37 3.762 1.000
ML30 ML37 5.352 1.000
ML20 ML21 4.152 1.000
ML08 ML28 -1.633 1.000
ML20 ML28 2.065 1.000
ML19 ML29 0.368 1.000
ML19 ML20 1.334 1.000
ML06 ML39 2.508 1.000
ML06 ML07 -0.410 1.000
ML09 ML31 -6.457 1.000
ML18 ML39 4.115 1.000
ML06 ML29 -3.715 1.000
ML09 ML18 -7.286 1.000
ML07 ML20 -2.011 1.000
ML21 ML30 -6.836 1.000
ML06 ML30 -5.036 1.000
ML20 ML29 -0.948 1.000
ML18 ML31 0.846 1.000
ML19 ML37 3.970 1.000
ML20 ML38 1.630 1.000
ML06 ML09 5.981 1.000
ML17 ML37 -3.128 1.000
ML08 ML18 -2.581 1.000
ML19 ML28 3.402 1.000
ML37 ML38 -0.808 1.000
ML07 ML28 0.197 1.000
ML07 ML31 -0.068 1.000
ML08 ML39 1.379 1.000
ML09 ML37 -5.739 1.000
ML08 ML09 4.708 1.000
ML09 ML28 -6.238 1.000
ML29 ML30 -1.695 1.000
ML21 ML39 1.004 1.000
