39.724 143.220 19.277 TRD
0.652 0.788 0.180 1.207
ML21 ML38 -7.000 1.000
ML08 ML31 -2.837 1.000
ML19 ML31 3.297 1.000
ML07 ML19 -4.353 1.000
ML29 ML39 7.709 1.000
ML20 ML31 0.883 1.000
ML28 ML31 4.619 1.000
ML06 ML29 -6.236 1.000
ML06 ML17 0.101 1.000
ML18 ML31 3.135 1.000
ML06 ML19 -3.476 1.000
ML28 ML29 -1.813 1.000
ML08 ML38 -6.937 1.000
ML17 ML39 1.144 1.000
ML20 ML28 -3.713 1.000
ML31 ML37 -5.281 1.000
ML09 ML21 -3.853 1.000
ML07 ML28 -5.454 1.000
ML21 ML39 -1.677 1.000
ML09 ML18 -10.329 1.000
ML28 ML30 -0.698 1.000
ML20 ML38 -3.026 1.000
ML29 ML37 1.111 1.000
ML09 ML29 -13.552 1.000
ML20 ML29 -5.475 1.000
ML18 ML20 2.371 1.000
ML08 ML30 -8.092 1.000
ML17 ML30 -5.548 1.000
ML30 ML38 1.360 1.000
ML09 ML31 -7.021 1.000
ML08 ML21 0.116 1.000
ML19 ML21 6.577 1.000
ML06 ML20 -1.015 1.000
ML07 ML29 -7.197 1.000
ML08 ML39 -1.340 1.000
ML31 ML38 -4.146 1.000
ML06 ML39 1.309 1.000
ML18 ML30 -2.133 1.000
ML08 ML37 -8.213 1.000
ML08 ML29 -9.217 1.000
ML17 ML38 -4.128 1.000
ML18 ML39 4.650 1.000
ML21 ML29 -9.379 1.000
ML17 ML18 -3.583 1.000
ML20 ML37 -4.361 1.000
ML20 ML21 4.013 1.000
ML18 ML28 -1.387 1.000
ML07 ML21 2.283 1.000
