39.726 143.276 18.290 TRD
0.612 0.649 0.109 2.005
ML17 ML19 -4.119 1.000
ML08 ML09 4.494 1.000
ML08 ML17 -2.246 1.000
ML20 ML37 -2.602 1.000
ML31 ML38 -3.031 1.000
ML18 ML31 3.951 1.000
ML19 ML38 1.328 1.000
ML28 ML31 4.387 1.000
ML18 ML38 1.000 1.000
ML19 ML20 2.714 1.000
ML30 ML39 7.404 1.000
ML06 ML31 0.899 1.000
ML08 ML20 -3.722 1.000
ML17 ML39 1.961 1.000
ML09 ML18 -10.627 1.000
ML31 ML39 2.106 1.000
ML08 ML37 -6.249 1.000
ML31 ML37 -4.025 1.000
ML08 ML30 -7.924 1.000
ML20 ML39 3.424 1.000
ML21 ML31 -2.787 1.000
ML19 ML28 -0.074 1.000
ML07 ML28 -4.563 1.000
ML08 ML38 -5.159 1.000
ML09 ML20 -8.256 1.000
ML07 ML21 2.652 1.000
ML17 ML18 -3.714 1.000
ML09 ML17 -6.631 1.000
ML19 ML30 -1.137 1.000
ML18 ML20 2.443 1.000
ML06 ML19 -3.286 1.000
ML06 ML28 -3.544 1.000
ML07 ML30 -5.640 1.000
ML09 ML19 -11.075 1.000
ML08 ML19 -6.470 1.000
ML21 ML37 -6.936 1.000
ML07 ML38 -3.014 1.000
ML19 ML29 -2.213 1.000
