39.841 143.370 19.950 TRD
0.833 0.849 0.095 1.191
ML21 ML39 0.956 1.000
ML08 ML30 -6.255 1.000
ML31 ML39 3.252 1.000
ML06 ML37 0.193 1.000
ML30 ML31 3.923 1.000
ML17 ML37 -3.303 1.000
ML08 ML38 -1.681 1.000
ML09 ML19 -8.929 1.000
ML09 ML18 -5.929 1.000
ML28 ML29 -3.342 1.000
ML07 ML31 -0.690 1.000
ML28 ML37 0.325 1.000
ML20 ML28 3.335 1.000
ML08 ML18 -1.585 1.000
ML07 ML28 0.711 1.000
ML06 ML08 0.358 1.000
ML18 ML38 0.137 1.000
ML21 ML29 -4.035 1.000
ML07 ML37 1.063 1.000
ML08 ML17 3.213 1.000
ML19 ML37 4.476 1.000
ML20 ML31 1.594 1.000
ML06 ML29 -3.293 1.000
ML07 ML39 2.403 1.000
ML09 ML21 -4.048 1.000
ML28 ML30 -5.717 1.000
ML08 ML20 -3.584 1.000
ML17 ML29 -6.841 1.000
ML06 ML31 -1.567 1.000
ML17 ML21 -2.987 1.000
ML17 ML19 -7.674 1.000
ML19 ML30 -1.737 1.000
ML07 ML38 -0.303 1.000
ML28 ML39 1.610 1.000
ML28 ML31 -1.394 1.000
ML20 ML21 3.948 1.000
ML19 ML20 0.768 1.000
ML30 ML39 7.458 1.000
ML06 ML39 1.585 1.000
ML08 ML09 4.407 1.000
ML09 ML37 -4.622 1.000
ML29 ML37 3.392 1.000
ML31 ML38 0.299 1.000
ML21 ML30 -6.272 1.000
ML20 ML39 4.848 1.000
ML17 ML18 -4.772 1.000
ML19 ML21 4.745 1.000
ML08 ML31 -1.981 1.000
