39.830 143.276 18.964 TRD
0.606 0.640 0.138 2.088
ML28 ML31 -1.152 1.000
ML17 ML19 -6.786 1.000
ML28 ML37 -0.599 1.000
ML08 ML17 2.216 1.000
ML31 ML37 0.366 1.000
ML07 ML30 -6.520 1.000
ML08 ML21 -0.297 1.000
ML29 ML38 0.656 1.000
ML18 ML37 -0.719 1.000
ML20 ML28 1.787 1.000
ML17 ML20 -6.091 1.000
ML09 ML21 -4.360 1.000
ML07 ML29 -4.492 1.000
ML06 ML30 -7.106 1.000
ML19 ML28 2.617 1.000
ML20 ML29 -1.618 1.000
ML30 ML37 4.712 1.000
ML18 ML21 2.042 1.000
ML08 ML38 -4.653 1.000
ML07 ML21 0.600 1.000
ML17 ML37 -5.302 1.000
ML29 ML31 2.205 1.000
ML28 ML30 -5.483 1.000
ML38 ML39 3.389 1.000
ML17 ML38 -6.751 1.000
ML09 ML31 -7.441 1.000
ML07 ML19 -3.462 1.000
ML18 ML29 -3.192 1.000
ML28 ML38 -2.467 1.000
ML21 ML38 -4.214 1.000
ML08 ML37 -3.220 1.000
ML18 ML39 1.049 1.000
ML29 ML39 4.148 1.000
ML06 ML28 -1.555 1.000
ML09 ML28 -6.192 1.000
ML19 ML21 4.229 1.000
ML20 ML31 0.574 1.000
ML06 ML37 -2.305 1.000
ML20 ML38 -0.740 1.000
ML06 ML29 -4.888 1.000
ML08 ML28 -2.165 1.000
