39.831 143.222 18.328 TRD
0.618 0.721 0.117 0.836
ML08 ML20 -3.806 1.000
ML20 ML28 0.733 1.000
ML06 ML07 -0.506 1.000
ML28 ML31 -0.915 1.000
ML17 ML21 -2.268 1.000
ML17 ML38 -8.025 1.000
ML09 ML30 -12.364 1.000
ML17 ML19 -6.471 1.000
ML06 ML09 4.445 1.000
ML17 ML20 -5.470 1.000
ML09 ML38 -10.439 1.000
ML08 ML18 -2.658 1.000
ML20 ML31 -0.258 1.000
ML19 ML37 -0.038 1.000
ML07 ML37 -3.690 1.000
ML06 ML08 0.432 1.000
ML30 ML37 3.685 1.000
ML09 ML28 -7.052 1.000
ML07 ML08 0.965 1.000
ML09 ML21 -4.554 1.000
ML06 ML18 -2.279 1.000
ML28 ML37 -1.691 1.000
ML20 ML38 -2.787 1.000
ML08 ML17 1.570 1.000
ML06 ML31 -3.874 1.000
ML19 ML39 1.751 1.000
ML06 ML39 -2.237 1.000
ML20 ML39 1.038 1.000
ML21 ML38 -6.015 1.000
ML09 ML19 -8.690 1.000
ML07 ML19 -3.588 1.000
ML28 ML29 -3.017 1.000
ML21 ML39 -1.840 1.000
ML08 ML31 -4.313 1.000
ML17 ML28 -4.578 1.000
ML19 ML28 1.522 1.000
ML29 ML38 -0.415 1.000
ML20 ML37 -0.909 1.000
ML29 ML39 3.495 1.000
ML09 ML20 -7.928 1.000
ML08 ML09 3.996 1.000
ML19 ML31 0.645 1.000
ML37 ML38 -1.769 1.000
ML08 ML19 -4.686 1.000
ML06 ML30 -7.694 1.000
ML07 ML39 -1.899 1.000
ML38 ML39 3.727 1.000
