39.777 143.352 19.849 TRD
0.609 0.629 0.084 0.826
ML08 ML09 4.680 1.000
ML18 ML29 -1.860 1.000
ML07 ML19 -3.591 1.000
ML17 ML37 -2.667 1.000
ML19 ML28 2.666 1.000
ML06 ML38 -0.144 1.000
ML08 ML17 0.790 1.000
ML18 ML39 5.110 1.000
ML29 ML31 4.220 1.000
ML08 ML30 -6.232 1.000
ML17 ML38 -2.864 1.000
ML07 ML38 -0.299 1.000
ML37 ML38 -0.321 1.000
ML17 ML31 -2.393 1.000
ML29 ML38 3.195 1.000
ML06 ML08 2.247 1.000
ML06 ML31 0.473 1.000
ML18 ML19 -1.635 1.000
ML20 ML28 0.844 1.000
ML08 ML20 -3.451 1.000
ML19 ML29 -0.058 1.000
ML09 ML37 -6.602 1.000
ML08 ML37 -1.952 1.000
ML21 ML31 -2.228 1.000
ML20 ML29 -2.033 1.000
ML18 ML21 4.527 1.000
ML31 ML39 3.202 1.000
ML09 ML30 -11.231 1.000
ML17 ML21 -0.324 1.000
ML07 ML39 3.507 1.000
ML28 ML39 4.384 1.000
ML09 ML29 -10.258 1.000
ML18 ML31 2.282 1.000
ML30 ML38 4.237 1.000
ML21 ML30 -6.981 1.000
ML19 ML20 2.102 1.000
ML08 ML39 1.407 1.000
ML08 ML21 0.638 1.000
ML19 ML38 3.266 1.000
ML07 ML31 0.534 1.000
