39.771 143.417 20.000 REF
0.000 0.000 0.000 999.000
ML21 ML29 -6.148 1.000
ML18 ML19 -1.799 1.000
ML31 ML37 -0.162 1.000
ML09 ML30 -10.338 1.000
ML08 ML37 -0.623 1.000
ML20 ML30 -2.143 1.000
ML31 ML38 -0.109 1.000
ML08 ML20 -3.231 1.000
ML09 ML37 -5.587 1.000
ML07 ML20 -0.905 1.000
ML37 ML38 0.053 1.000
ML29 ML39 7.904 1.000
ML37 ML39 3.630 1.000
ML08 ML18 -3.980 1.000
ML30 ML39 8.381 1.000
ML30 ML38 4.804 1.000
ML07 ML19 -3.454 1.000
ML07 ML18 -1.655 1.000
ML08 ML29 -4.898 1.000
ML17 ML28 -3.098 1.000
ML19 ML20 2.549 1.000
ML17 ML29 -5.659 1.000
ML06 ML39 5.624 1.000
ML07 ML21 3.576 1.000
ML20 ML38 2.661 1.000
ML06 ML19 -3.161 1.000
ML28 ML30 -3.038 1.000
