39.724 143.228 20.000 REF
0.000 0.000 0.000 999.000
ML20 ML38 -3.169 1.000
ML06 ML09 7.345 1.000
ML08 ML17 -3.063 1.000
ML18 ML30 -1.818 1.000
ML30 ML37 -0.237 1.000
ML28 ML38 0.944 1.000
ML31 ML38 -4.111 1.000
ML20 ML21 4.027 1.000
ML28 ML31 5.055 1.000
ML07 ML08 2.070 1.000
ML20 ML37 -4.702 1.000
ML37 ML39 6.940 1.000
ML28 ML39 6.350 1.000
ML28 ML29 -1.573 1.000
ML09 ML28 -12.187 1.000
ML06 ML21 3.298 1.000
ML21 ML30 -8.492 1.000
ML09 ML31 -7.133 1.000
ML08 ML09 4.286 1.000
ML21 ML28 -8.140 1.000
ML20 ML39 2.237 1.000
ML19 ML39 4.898 1.000
ML38 ML39 5.406 1.000
ML17 ML28 -4.839 1.000
ML09 ML18 -10.721 1.000
ML09 ML29 -13.760 1.000
ML20 ML29 -5.686 1.000
ML30 ML31 5.407 1.000
ML18 ML28 -1.466 1.000
ML21 ML31 -3.086 1.000
ML21 ML29 -9.713 1.000
ML20 ML30 -4.465 1.000
ML18 ML20 2.647 1.000
ML09 ML19 -10.735 1.000
ML19 ML30 -1.804 1.000
ML18 ML37 -2.055 1.000
ML06 ML18 -3.377 1.000
ML18 ML21 6.675 1.000
ML06 ML39 1.508 1.000
ML30 ML38 1.296 1.000
ML07 ML29 -7.404 1.000
ML09 ML20 -8.074 1.000
ML07 ML20 -1.718 1.000
ML19 ML38 -0.509 1.000
