39.866 143.263 19.834 TRD
0.868 0.958 0.019 0.733
ML07 ML19 -3.402 1.000
ML19 ML31 0.196 1.000
ML21 ML37 -2.256 1.000
ML20 ML28 2.105 1.000
ML09 ML39 -6.083 1.000
ML07 ML30 -7.140 1.000
ML20 ML39 1.641 1.000
ML07 ML38 -4.754 1.000
ML08 ML29 -4.962 1.000
ML08 ML18 -1.555 1.000
ML06 ML29 -5.150 1.000
ML07 ML31 -3.365 1.000
ML30 ML39 5.346 1.000
ML07 ML37 -2.239 1.000
ML29 ML39 2.410 1.000
ML20 ML21 3.089 1.000
ML06 ML17 2.559 1.000
ML07 ML08 0.662 1.000
ML07 ML17 3.441 1.000
ML18 ML29 -3.317 1.000
ML17 ML39 -5.339 1.000
ML30 ML38 2.233 1.000
ML08 ML31 -4.095 1.000
ML18 ML20 -2.285 1.000
ML08 ML37 -2.952 1.000
ML17 ML31 -6.939 1.000
ML19 ML39 1.972 1.000
ML07 ML29 -4.279 1.000
ML21 ML28 -0.725 1.000
ML17 ML20 -6.590 1.000
ML09 ML38 -9.214 1.000
ML07 ML09 4.643 1.000
ML09 ML18 -5.431 1.000
ML17 ML29 -7.846 1.000
ML08 ML20 -3.745 1.000
ML21 ML30 -7.076 1.000
ML08 ML17 2.873 1.000
ML09 ML29 -8.605 1.000
ML20 ML38 -1.318 1.000
ML21 ML29 -4.213 1.000
ML31 ML38 -1.287 1.000
ML30 ML37 4.845 1.000
ML38 ML39 3.009 1.000
