39.858 143.220 19.543 TRD
0.628 0.672 0.150 2.009
ML09 ML37 -7.470 1.000
ML28 ML38 -4.295 1.000
ML29 ML31 0.854 1.000
ML06 ML09 3.406 1.000
ML38 ML39 3.112 1.000
ML07 ML39 -2.516 1.000
ML06 ML17 2.330 1.000
ML06 ML19 -4.273 1.000
ML19 ML38 -2.339 1.000
ML07 ML20 -3.203 1.000
ML30 ML31 3.637 1.000
ML20 ML31 -0.538 1.000
ML17 ML31 -6.775 1.000
ML18 ML38 -4.543 1.000
ML17 ML30 -10.506 1.000
ML08 ML18 -1.582 1.000
ML17 ML39 -5.659 1.000
ML19 ML20 0.131 1.000
ML18 ML20 -2.167 1.000
ML37 ML39 0.550 1.000
ML28 ML30 -6.007 1.000
ML07 ML17 3.100 1.000
ML19 ML29 -1.306 1.000
ML20 ML38 -2.383 1.000
ML20 ML29 -1.315 1.000
ML09 ML30 -11.902 1.000
ML07 ML08 0.698 1.000
ML28 ML39 -1.009 1.000
ML37 ML38 -2.462 1.000
ML17 ML29 -7.721 1.000
ML31 ML39 1.183 1.000
ML20 ML21 2.847 1.000
ML17 ML19 -6.524 1.000
ML08 ML30 -8.009 1.000
ML19 ML30 -3.915 1.000
ML08 ML37 -3.834 1.000
