39.857 143.274 18.850 TRD
0.633 0.769 0.100 0.762
ML29 ML30 -2.857 1.000
ML09 ML29 -8.617 1.000
ML28 ML38 -3.242 1.000
ML17 ML31 -6.908 1.000
ML19 ML39 2.305 1.000
ML28 ML29 -3.325 1.000
ML29 ML31 0.875 1.000
ML30 ML39 5.935 1.000
ML18 ML31 -2.429 1.000
ML18 ML20 -2.507 1.000
ML17 ML18 -4.565 1.000
ML17 ML29 -7.687 1.000
ML07 ML30 -6.898 1.000
ML18 ML38 -3.042 1.000
ML06 ML17 2.975 1.000
ML19 ML21 3.423 1.000
ML06 ML08 -0.158 1.000
ML18 ML28 0.250 1.000
ML09 ML38 -8.088 1.000
ML07 ML18 -0.851 1.000
ML17 ML19 -7.181 1.000
ML06 ML09 3.635 1.000
ML07 ML17 3.898 1.000
ML18 ML19 -2.609 1.000
ML07 ML31 -2.834 1.000
ML06 ML30 -7.850 1.000
ML06 ML21 -0.785 1.000
ML07 ML37 -1.365 1.000
ML19 ML30 -3.389 1.000
ML08 ML30 -7.268 1.000
ML18 ML30 -6.137 1.000
ML08 ML37 -2.029 1.000
ML19 ML31 0.349 1.000
ML19 ML37 1.945 1.000
ML07 ML20 -3.155 1.000
ML08 ML18 -1.370 1.000
ML07 ML21 0.176 1.000
ML21 ML28 -0.446 1.000
ML20 ML39 2.223 1.000
ML08 ML29 -4.383 1.000
ML29 ML37 2.544 1.000
ML09 ML28 -4.888 1.000
ML17 ML30 -10.776 1.000
ML20 ML29 -0.732 1.000
ML21 ML38 -3.660 1.000
ML21 ML37 -1.494 1.000
ML21 ML31 -3.166 1.000
ML17 ML28 -4.397 1.000
