39.841 143.263 19.880 TRD
0.869 0.910 0.144 0.413
ML06 ML09 4.434 1.000
ML17 ML20 -5.850 1.000
ML09 ML37 -7.996 1.000
ML31 ML37 -0.140 1.000
ML17 ML19 -6.562 1.000
ML06 ML39 -1.524 1.000
ML29 ML39 3.757 1.000
ML09 ML39 -6.024 1.000
ML08 ML29 -5.715 1.000
ML37 ML39 1.561 1.000
ML08 ML28 -2.620 1.000
ML19 ML30 -3.241 1.000
ML07 ML31 -2.700 1.000
ML28 ML30 -5.432 1.000
ML06 ML30 -7.587 1.000
ML18 ML28 -0.238 1.000
ML29 ML38 0.170 1.000
ML19 ML28 2.111 1.000
ML18 ML20 -1.406 1.000
ML06 ML20 -3.464 1.000
ML30 ML31 4.228 1.000
ML09 ML29 -9.827 1.000
ML18 ML37 -1.387 1.000
ML17 ML37 -5.663 1.000
ML20 ML29 -2.015 1.000
ML30 ML37 4.180 1.000
ML20 ML28 1.234 1.000
ML21 ML30 -7.504 1.000
ML07 ML28 -1.623 1.000
ML06 ML19 -4.094 1.000
ML06 ML31 -3.268 1.000
ML17 ML39 -3.851 1.000
ML06 ML29 -5.382 1.000
