39.804 143.275 18.971 TRD
0.608 0.664 0.120 0.972
ML38 ML39 3.808 1.000
ML09 ML18 -7.492 1.000
ML30 ML38 2.836 1.000
ML18 ML37 -0.584 1.000
ML17 ML19 -6.273 1.000
ML18 ML28 -0.101 1.000
ML20 ML31 0.701 1.000
ML28 ML39 2.274 1.000
ML37 ML38 -1.183 1.000
ML17 ML39 -2.174 1.000
ML17 ML18 -4.282 1.000
ML21 ML31 -2.923 1.000
ML21 ML38 -4.700 1.000
ML29 ML37 2.437 1.000
ML19 ML38 0.303 1.000
ML08 ML09 4.292 1.000
ML09 ML17 -3.105 1.000
ML07 ML28 -1.982 1.000
ML08 ML29 -6.260 1.000
ML07 ML18 -2.061 1.000
ML09 ML37 -8.171 1.000
ML07 ML09 5.503 1.000
ML09 ML21 -4.216 1.000
ML08 ML37 -3.666 1.000
ML09 ML20 -8.214 1.000
ML17 ML28 -4.317 1.000
ML07 ML21 1.405 1.000
ML19 ML20 1.237 1.000
ML19 ML29 -0.916 1.000
ML30 ML39 6.781 1.000
ML07 ML20 -2.538 1.000
ML06 ML30 -6.709 1.000
ML07 ML08 1.276 1.000
ML17 ML31 -4.098 1.000
ML19 ML30 -2.601 1.000
ML17 ML21 -1.147 1.000
ML07 ML38 -3.411 1.000
ML06 ML37 -2.606 1.000
ML20 ML39 2.926 1.000
ML06 ML29 -5.162 1.000
