39.777 143.223 18.595 TRD
0.621 0.855 0.148 0.477
ML18 ML31 0.954 1.000
ML28 ML31 1.860 1.000
ML17 ML19 -4.981 1.000
ML09 ML20 -8.034 1.000
ML19 ML38 -1.142 1.000
ML18 ML30 -4.095 1.000
ML21 ML37 -6.214 1.000
ML17 ML29 -7.335 1.000
ML07 ML31 -2.104 1.000
ML17 ML31 -3.020 1.000
ML07 ML30 -6.944 1.000
ML20 ML31 0.486 1.000
ML08 ML29 -7.847 1.000
ML31 ML39 1.262 1.000
ML30 ML39 6.403 1.000
ML19 ML31 2.179 1.000
ML08 ML19 -5.606 1.000
ML09 ML19 -9.891 1.000
ML20 ML30 -4.473 1.000
ML29 ML38 0.979 1.000
ML28 ML37 -1.155 1.000
ML06 ML31 -1.647 1.000
ML07 ML09 5.628 1.000
ML18 ML21 4.355 1.000
ML08 ML09 4.136 1.000
