39.860 143.303 18.998 TRD
0.732 0.750 0.050 0.739
ML07 ML30 -6.247 1.000
ML09 ML37 -5.100 1.000
ML30 ML38 3.584 1.000
ML19 ML30 -3.002 1.000
ML08 ML28 -0.443 1.000
ML20 ML37 2.620 1.000
ML06 ML39 -1.049 1.000
ML29 ML38 0.685 1.000
ML18 ML19 -2.975 1.000
ML08 ML31 -3.181 1.000
ML07 ML18 -0.390 1.000
ML20 ML39 3.061 1.000
ML06 ML30 -7.466 1.000
ML17 ML37 -4.815 1.000
ML28 ML29 -3.503 1.000
ML06 ML29 -4.235 1.000
ML07 ML28 0.473 1.000
ML08 ML21 -0.536 1.000
ML07 ML21 0.336 1.000
ML08 ML17 3.420 1.000
ML19 ML38 0.553 1.000
ML17 ML29 -7.415 1.000
ML21 ML30 -6.415 1.000
ML09 ML29 -7.868 1.000
ML28 ML37 -0.571 1.000
ML17 ML28 -4.046 1.000
ML20 ML30 -3.262 1.000
ML19 ML31 0.726 1.000
ML09 ML28 -4.442 1.000
ML30 ML39 6.314 1.000
ML09 ML20 -7.890 1.000
ML18 ML37 -0.135 1.000
