39.778 143.300 18.969 TRD
0.620 0.649 0.113 1.847
ML19 ML38 1.586 1.000
ML18 ML37 0.230 1.000
ML08 ML37 -3.576 1.000
ML09 ML21 -4.370 1.000
ML20 ML21 4.027 1.000
ML07 ML30 -5.670 1.000
ML06 ML39 1.870 1.000
ML38 ML39 4.109 1.000
ML18 ML19 -1.477 1.000
ML08 ML29 -6.677 1.000
ML18 ML39 4.215 1.000
ML31 ML37 -1.308 1.000
ML28 ML39 3.700 1.000
ML08 ML09 4.515 1.000
ML07 ML18 -2.280 1.000
ML19 ML28 1.858 1.000
ML30 ML39 7.282 1.000
ML08 ML20 -3.586 1.000
ML30 ML31 4.975 1.000
ML29 ML30 -0.584 1.000
ML19 ML20 2.043 1.000
ML17 ML20 -3.853 1.000
ML06 ML20 -1.993 1.000
ML07 ML19 -3.936 1.000
ML07 ML08 1.708 1.000
ML07 ML39 1.603 1.000
ML18 ML30 -3.348 1.000
ML29 ML31 4.307 1.000
ML19 ML37 1.762 1.000
ML30 ML38 3.194 1.000
ML09 ML20 -7.944 1.000
ML20 ML29 -3.219 1.000
ML09 ML31 -6.948 1.000
