39.814 143.342 20.000 TRD
0.851 0.835 0.058 0.849
ML29 ML37 3.391 1.000
ML09 ML17 -2.726 1.000
ML28 ML31 -0.245 1.000
ML07 ML29 -3.747 1.000
ML09 ML21 -4.185 1.000
ML19 ML30 -1.799 1.000
ML19 ML20 1.513 1.000
ML08 ML29 -5.327 1.000
ML09 ML30 -11.402 1.000
ML06 ML38 -1.524 1.000
ML06 ML07 -0.096 1.000
ML17 ML30 -8.732 1.000
ML06 ML39 1.791 1.000
ML18 ML31 0.685 1.000
ML21 ML28 -2.419 1.000
ML08 ML39 0.573 1.000
ML30 ML31 4.662 1.000
ML07 ML21 1.776 1.000
ML28 ML29 -3.021 1.000
ML07 ML18 -1.223 1.000
ML18 ML39 3.404 1.000
ML29 ML38 2.461 1.000
ML28 ML30 -4.684 1.000
ML17 ML31 -4.021 1.000
ML19 ML38 2.176 1.000
ML17 ML39 -1.158 1.000
ML18 ML30 -4.027 1.000
ML19 ML28 2.802 1.000
ML07 ML28 -0.543 1.000
ML08 ML19 -5.106 1.000
ML06 ML29 -4.109 1.000
ML06 ML31 -0.963 1.000
ML29 ML30 -1.502 1.000
ML07 ML09 6.168 1.000
ML17 ML20 -5.498 1.000
ML31 ML38 -0.652 1.000
ML18 ML38 0.134 1.000
ML20 ML39 4.281 1.000
ML38 ML39 3.449 1.000
ML06 ML17 2.945 1.000
ML18 ML21 3.069 1.000
ML07 ML30 -5.395 1.000
ML28 ML37 0.045 1.000
