39.830 143.301 18.703 TRD
0.617 0.625 0.145 0.740
ML17 ML19 -7.334 1.000
ML06 ML31 -2.465 1.000
ML21 ML38 -3.375 1.000
ML28 ML38 -2.098 1.000
ML08 ML37 -2.117 1.000
ML09 ML30 -11.516 1.000
ML18 ML39 1.559 1.000
ML30 ML38 3.564 1.000
ML17 ML37 -4.564 1.000
ML17 ML29 -7.396 1.000
ML06 ML21 0.321 1.000
ML21 ML37 -1.792 1.000
ML08 ML39 -0.454 1.000
ML17 ML31 -5.375 1.000
ML09 ML31 -7.257 1.000
ML09 ML21 -4.312 1.000
ML31 ML39 2.419 1.000
ML18 ML19 -2.400 1.000
ML30 ML31 4.387 1.000
ML19 ML37 2.616 1.000
ML29 ML30 -2.255 1.000
ML06 ML18 -1.561 1.000
ML20 ML30 -3.552 1.000
ML29 ML39 4.600 1.000
ML37 ML38 -1.438 1.000
ML18 ML38 -1.540 1.000
ML07 ML08 1.018 1.000
ML17 ML20 -6.282 1.000
ML20 ML29 -1.250 1.000
ML08 ML18 -1.944 1.000
ML07 ML09 5.253 1.000
ML07 ML37 -1.008 1.000
ML07 ML39 0.621 1.000
ML17 ML39 -3.097 1.000
