39.812 143.231 20.625 TRD
0.882 0.949 0.031 0.349
ML17 ML28 -4.694 1.000
ML20 ML29 -3.329 1.000
ML31 ML39 1.304 1.000
ML07 ML37 -4.529 1.000
ML17 ML37 -6.240 1.000
ML08 ML21 -0.352 1.000
ML29 ML31 3.115 1.000
ML28 ML31 0.391 1.000
ML18 ML29 -3.340 1.000
ML06 ML39 -1.342 1.000
ML08 ML37 -5.556 1.000
ML20 ML21 3.572 1.000
ML09 ML39 -6.395 1.000
ML18 ML19 -1.852 1.000
ML09 ML18 -7.603 1.000
ML28 ML29 -2.626 1.000
ML06 ML08 1.153 1.000
ML19 ML37 -0.707 1.000
ML17 ML29 -7.600 1.000
ML20 ML37 -1.759 1.000
ML07 ML39 -1.113 1.000
ML21 ML38 -6.156 1.000
ML19 ML20 1.170 1.000
ML06 ML29 -5.934 1.000
ML19 ML31 1.536 1.000
ML19 ML29 -1.914 1.000
ML17 ML20 -4.399 1.000
ML20 ML38 -2.968 1.000
ML18 ML30 -4.690 1.000
ML20 ML39 1.347 1.000
