39.732 143.340 20.114 TRD
0.977 0.955 0.029 0.243
ML17 ML31 0.444 1.000
ML31 ML39 2.475 1.000
ML28 ML31 4.211 1.000
ML09 ML39 -3.751 1.000
ML18 ML39 7.153 1.000
ML28 ML37 1.368 1.000
ML09 ML38 -8.291 1.000
ML31 ML37 -2.859 1.000
ML06 ML08 3.299 1.000
ML29 ML38 4.334 1.000
ML08 ML37 -4.466 1.000
ML18 ML19 -0.598 1.000
ML06 ML07 0.993 1.000
ML30 ML31 5.414 1.000
ML21 ML31 -2.077 1.000
ML06 ML37 -1.050 1.000
ML20 ML39 4.574 1.000
ML08 ML30 -6.540 1.000
ML07 ML38 -1.091 1.000
ML06 ML09 8.137 1.000
ML17 ML21 2.737 1.000
ML07 ML37 -2.068 1.000
ML19 ML21 7.457 1.000
ML20 ML37 -0.831 1.000
