39.751 143.247 18.678 TRD
0.603 0.712 0.078 0.721
ML19 ML21 6.206 1.000
ML07 ML18 -3.446 1.000
ML08 ML37 -6.473 1.000
ML18 ML20 1.305 1.000
ML19 ML38 0.085 1.000
ML19 ML30 -2.025 1.000
ML17 ML21 1.568 1.000
ML08 ML39 -1.209 1.000
ML07 ML08 1.764 1.000
ML08 ML19 -6.062 1.000
ML29 ML37 2.000 1.000
ML20 ML30 -4.315 1.000
ML08 ML17 -1.398 1.000
ML06 ML09 6.664 1.000
ML09 ML18 -9.457 1.000
ML18 ML39 4.080 1.000
ML17 ML29 -6.918 1.000
ML21 ML38 -6.275 1.000
ML18 ML21 5.444 1.000
ML18 ML30 -2.959 1.000
ML09 ML17 -5.779 1.000
ML08 ML09 4.448 1.000
ML21 ML28 -5.822 1.000
ML17 ML18 -3.862 1.000
ML18 ML19 -0.883 1.000
ML29 ML31 5.603 1.000
ML09 ML20 -7.974 1.000
ML28 ML39 4.840 1.000
ML08 ML29 -8.358 1.000
ML19 ML28 0.252 1.000
ML38 ML39 4.858 1.000
ML28 ML31 3.313 1.000
ML29 ML39 7.117 1.000
ML17 ML30 -6.657 1.000
ML17 ML20 -2.546 1.000
ML28 ML30 -1.913 1.000
ML17 ML37 -5.120 1.000
ML17 ML31 -1.511 1.000
