39.758 143.287 20.196 TRD
0.883 0.914 0.075 1.004
ML08 ML37 -5.423 1.000
ML07 ML19 -4.186 1.000
ML20 ML30 -3.826 1.000
ML29 ML37 2.436 1.000
ML09 ML38 -9.578 1.000
ML07 ML28 -3.673 1.000
ML07 ML38 -3.196 1.000
ML08 ML38 -5.127 1.000
ML31 ML38 -2.693 1.000
ML06 ML17 1.346 1.000
ML37 ML39 4.985 1.000
ML21 ML29 -8.443 1.000
ML17 ML31 -1.465 1.000
ML06 ML30 -5.207 1.000
ML28 ML39 5.094 1.000
ML06 ML39 2.029 1.000
ML06 ML31 0.098 1.000
ML07 ML37 -3.716 1.000
ML08 ML29 -8.029 1.000
ML07 ML17 0.949 1.000
ML09 ML28 -10.057 1.000
ML07 ML31 -0.294 1.000
ML09 ML37 -10.017 1.000
ML17 ML30 -6.699 1.000
ML21 ML39 -0.808 1.000
ML17 ML29 -6.649 1.000
ML09 ML39 -4.867 1.000
ML08 ML31 -2.468 1.000
ML29 ML38 2.792 1.000
ML17 ML37 -4.261 1.000
ML06 ML20 -1.188 1.000
ML17 ML21 1.418 1.000
ML17 ML28 -4.299 1.000
ML19 ML31 3.845 1.000
ML17 ML38 -4.010 1.000
ML28 ML37 0.033 1.000
ML29 ML31 5.256 1.000
ML06 ML21 2.816 1.000
ML09 ML31 -6.935 1.000
ML08 ML19 -6.070 1.000
ML28 ML29 -2.419 1.000
ML21 ML38 -5.222 1.000
ML19 ML30 -1.687 1.000
ML09 ML18 -9.719 1.000
ML08 ML09 4.415 1.000
ML09 ML29 -12.459 1.000
ML20 ML38 -1.423 1.000
