39.857 143.327 18.831 TRD
0.596 0.605 0.111 0.729
ML18 ML30 -5.933 1.000
ML08 ML37 -0.421 1.000
ML21 ML39 0.230 1.000
ML31 ML39 3.090 1.000
ML17 ML21 -4.071 1.000
ML19 ML20 0.176 1.000
ML30 ML31 3.639 1.000
ML19 ML29 0.553 1.000
ML06 ML17 3.535 1.000
ML19 ML21 3.765 1.000
ML19 ML30 -2.772 1.000
ML06 ML09 3.613 1.000
ML06 ML18 -1.114 1.000
ML17 ML38 -6.276 1.000
ML08 ML29 -3.304 1.000
ML07 ML30 -5.703 1.000
ML28 ML38 -2.483 1.000
ML28 ML37 -0.407 1.000
ML09 ML31 -6.977 1.000
ML08 ML09 3.985 1.000
ML06 ML30 -6.932 1.000
ML17 ML37 -4.259 1.000
ML09 ML18 -4.786 1.000
ML07 ML08 0.763 1.000
ML20 ML38 1.374 1.000
ML06 ML31 -3.057 1.000
ML07 ML17 4.874 1.000
ML08 ML20 -3.551 1.000
ML17 ML19 -7.759 1.000
ML17 ML20 -7.670 1.000
ML20 ML21 3.485 1.000
ML17 ML29 -7.539 1.000
ML21 ML29 -3.244 1.000
ML18 ML39 0.736 1.000
ML07 ML20 -2.891 1.000
ML21 ML28 0.396 1.000
ML07 ML28 0.982 1.000
ML07 ML37 0.555 1.000
ML19 ML39 3.926 1.000
ML20 ML29 0.216 1.000
ML06 ML21 -0.449 1.000
ML17 ML39 -3.815 1.000
ML28 ML39 0.116 1.000
ML19 ML38 1.462 1.000
ML18 ML37 0.519 1.000
ML20 ML39 3.774 1.000
ML28 ML30 -6.563 1.000
ML07 ML38 -1.443 1.000
