39.831 143.330 18.870 TRD
0.605 0.616 0.074 0.772
ML31 ML39 3.026 1.000
ML37 ML38 -1.453 1.000
ML06 ML29 -4.067 1.000
ML08 ML30 -6.649 1.000
ML19 ML31 1.918 1.000
ML17 ML39 -2.463 1.000
ML07 ML18 -0.678 1.000
ML28 ML38 -1.531 1.000
ML06 ML38 -2.193 1.000
ML18 ML28 0.744 1.000
ML07 ML37 0.211 1.000
ML06 ML31 -2.191 1.000
ML20 ML37 2.467 1.000
ML21 ML39 0.315 1.000
ML08 ML38 -2.642 1.000
ML20 ML28 2.781 1.000
ML17 ML18 -4.873 1.000
ML09 ML31 -6.770 1.000
ML18 ML37 0.778 1.000
ML06 ML37 -0.628 1.000
ML18 ML39 2.203 1.000
ML09 ML30 -11.050 1.000
ML07 ML28 0.199 1.000
ML19 ML28 3.435 1.000
ML07 ML08 1.397 1.000
ML21 ML28 -1.015 1.000
ML28 ML29 -3.404 1.000
